Новый Aplina B5 G30/G31 Рестайлинг 4.4,$ 220 000,https://im.mashina.kg/tachka/images//2/a/3/2a3a09854403f62cc20764288c6a4494_640x480.jpg,"{'Год выпуска': '2022', 'Кузов': '\n                                                                                                                                                            Седан\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ', 'Цвет': 'Синий', 'Двигатель': 'Бензин, 4.4 л.', 'Коробка передач': 'Автомат', 'Привод': 'Полный', 'Расход топлива, л.': '\n                                                                                                    15.9 город /                                                                                                     8.3 трасса /                                                                                                     11.1 смешанный                                                                                            ', 'Разгон до 100 км/ч, с': '3.4'}"
Новый BMW X5 IV (G05) 3.0,$ 128 000,https://im.mashina.kg/tachka/images//f/5/0/f50ddf810b376254501ed2c627e40664_640x480.jpg,"{'Год выпуска': '2022', 'Кузов': '\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Внедорожник 5 дв.\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ', 'Цвет': 'Белый', 'Двигатель': 'Гибрид, 3 л.', 'Коробка передач': 'Автомат', 'Привод': 'Полный', 'Расход топлива, л.': '\n                                                                                                    2 смешанный                                                                                            ', 'Разгон до 100 км/ч, с': '5.6'}"
"Новый BMW 4 Серия G22, G23 420i 2.0",$ 82 000,https://im.mashina.kg/tachka/images//2/a/3/2a3a09854403f62cc20764288c6a4494_640x480.jpg,"{'Год выпуска': '2022', 'Кузов': '\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Купе\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ', 'Цвет': 'Синий', 'Двигатель': 'Бензин, 2 л.', 'Коробка передач': 'Автомат', 'Привод': 'Задний', 'Расход топлива, л.': '\n                                                                                                    7.5 город /                                                                                                     5 трасса /                                                                                                     5.8 смешанный                                                                                            ', 'Разгон до 100 км/ч, с': '7.5'}"
Новый Lexus GX II Рестайлинг 2 460 4.6,13 454 300 сом,https://im.mashina.kg/tachka/images//7/3/4/734b4aefcd3848d0dc81ed7f187e09dc_640x480.jpg,"{'Год выпуска': '2022', 'Кузов': '\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Внедорожник 5 дв.\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ', 'Цвет': 'Серебристый', 'Двигатель': 'Бензин, 4.6 л.', 'Коробка передач': 'Автомат', 'Привод': 'Полный', 'Расход топлива, л.': '\n                                                                                                    17.7 город /                                                                                                     9.9 трасса /                                                                                                     12.8 смешанный                                                                                            ', 'Разгон до 100 км/ч, с': '8,3'}"
Новый Nexia I 1.5  Elegant AT,$ 15 600,https://im.mashina.kg/tachka/images//5/9/e/59e690eb2d22c7a0a4eba7cf9cdfa11a_640x480.jpg,"{'Год выпуска': '2022', 'Кузов': '\n                                                                                                                                                            Седан\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ', 'Цвет': 'Белый', 'Двигатель': 'Бензин, 1.5 л.', 'Коробка передач': 'Автомат', 'Привод': 'Передний', 'Расход топлива, л.': '\n                                                                                                    9.3 город /                                                                                                     7 смешанный                                                                                            ', 'Разгон до 100 км/ч, с': '12.3'}"
Новый Chevrolet Cobalt II Рестайлинг 1.5  Elegant AT,$ 16 800,https://im.mashina.kg/tachka/images//8/c/4/8c4233d1c3703e0fc47aaa243eceb651_640x480.jpg,"{'Год выпуска': '2022', 'Кузов': '\n                                                                                                                                                            Седан\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ', 'Цвет': 'Белый', 'Двигатель': 'Бензин, 1.5 л.', 'Коробка передач': 'Автомат', 'Привод': 'Передний', 'Расход топлива, л.': '\n                                                                                                    10.4 город /                                                                                                     5.9 трасса /                                                                                                     7.6 смешанный                                                                                            ', 'Разгон до 100 км/ч, с': '12.6'}"
Новый Lexus GX II Рестайлинг 2 460 4.6,13 454 300 сом,https://im.mashina.kg/tachka/images//b/e/d/bed414d3d05446905b6a200c21b115e2_640x480.jpg,"{'Год выпуска': '2022', 'Кузов': '\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Внедорожник 5 дв.\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ', 'Цвет': 'Серебристый', 'Двигатель': 'Бензин, 4.6 л.', 'Коробка передач': 'Автомат', 'Привод': 'Полный', 'Расход топлива, л.': '\n                                                                                                    17.7 город /                                                                                                     9.9 трасса /                                                                                                     12.8 смешанный                                                                                            ', 'Разгон до 100 км/ч, с': '8,3'}"
Новый Kia Sportage V 2.5,$ 46 000,https://im.mashina.kg/tachka/images//5/3/2/5320ecfb906d4636031b2801a85c336b_640x480.jpg,"{'Год выпуска': '2022', 'Кузов': '\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Внедорожник 5 дв.\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ', 'Цвет': 'Бордовый', 'Двигатель': 'Бензин, 2.5 л.', 'Коробка передач': 'Автомат', 'Привод': 'Полный'}"
Новый Kia Sorento IV 3.5  Premium,$ 64 000,https://im.mashina.kg/tachka/images//5/3/2/5320ecfb906d4636031b2801a85c336b_640x480.jpg,"{'Год выпуска': '2022', 'Кузов': '\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Внедорожник 5 дв.\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ', 'Цвет': 'Белый', 'Двигатель': 'Бензин, 3.5 л.', 'Коробка передач': 'Автомат', 'Привод': 'Полный', 'Расход топлива, л.': '\n                                                                                                    13.9 город /                                                                                                     7.8 трасса /                                                                                                     10 смешанный                                                                                            ', 'Разгон до 100 км/ч, с': '8'}"
Новый Kia K5 III 2.5  Prestige,$ 51 000,https://im.mashina.kg/tachka/images//5/3/2/5320ecfb906d4636031b2801a85c336b_640x480.jpg,"{'Год выпуска': '2022', 'Кузов': '\n                                                                                                                                                            Седан\n                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ', 'Цвет': 'Красный', 'Двигатель': 'Бензин, 2.5 л.', 'Коробка передач': 'Автомат', 'Привод': 'Передний', 'Расход топлива, л.': '\n                                                                                                    7.1 смешанный                                                                                            ', 'Разгон до 100 км/ч, с': '8.6'}"
